step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,ctx_scale
350,3,1.209111,2.4351,0.4834,0,0,0,1.0
400,3,1.069608,2.6383,0.6365,0,0,0,1.0
450,3,0.954285,3.0212,0.9378,4,0,0,1.0
500,3,0.867558,2.2159,1.0046,5,0,0,1.0
550,3,0.742906,3.1773,1.3465,5,0,0,1.0
600,3,0.742360,2.8587,1.6544,5,0,0,1.0
650,3,0.582564,4.0640,1.5679,5,0,0,1.0
700,3,0.674028,3.4662,1.9234,9,0,0,1.0
750,3,0.481393,4.5102,2.3177,10,1,0,1.0
800,4,0.296760,4.0787,2.2243,10,0,0,1.0
850,4,0.287998,4.4277,2.1876,10,0,0,1.0
900,4,0.265405,4.1347,2.4733,10,0,0,1.0
950,4,0.241184,4.0339,2.5670,10,0,0,1.0
1000,4,0.231015,4.2427,2.7358,10,1,0,1.0
