step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,gamma
350,3,0.522064,3.7716,0.1792,0,0,0,0.9
400,3,0.516983,3.1293,-0.0908,0,0,0,0.9
450,3,0.403349,3.7965,0.0658,0,0,0,0.9
500,3,0.396783,4.1316,-0.0384,0,0,0,0.9
550,3,0.286451,3.9637,0.1302,0,0,0,0.9
600,3,0.209145,4.5990,-0.0217,0,0,0,0.9
650,3,0.434097,4.4083,0.3603,0,0,0,0.9
700,3,0.241313,4.2276,0.1054,0,0,0,0.9
750,3,0.236736,4.1770,0.0600,0,0,0,0.9
800,3,0.146008,4.0390,0.2320,0,0,0,0.9
850,3,0.280985,3.8573,0.2406,0,0,0,0.9
900,3,0.194431,4.1520,0.0591,0,0,0,0.9
950,3,0.144047,4.0725,-0.0690,0,0,0,0.9
1000,3,0.201891,4.0777,0.1013,0,0,0,0.9
1050,3,0.169123,3.8322,0.0441,0,0,0,0.9
1100,3,0.200854,4.1457,-0.0661,0,0,0,0.9
1150,3,0.144534,4.5034,-0.0424,0,0,0,0.9
1200,3,0.125406,4.5628,0.0662,0,0,0,0.9
1250,3,0.084482,4.5474,-0.0108,0,0,0,0.9
1300,3,0.113286,4.5483,0.1313,0,0,0,0.9
1350,3,0.162366,4.1459,0.2059,0,0,0,0.9
1400,3,0.103859,3.9413,0.0948,0,0,0,0.9
1450,3,0.094425,4.1678,0.0859,0,0,0,0.9
1500,3,0.063372,4.6361,-0.0166,0,0,0,0.9
1550,3,0.057537,4.6527,0.0315,0,0,0,0.9
1600,3,0.110627,4.0463,0.2448,0,0,0,0.9
1650,3,0.050407,4.6527,0.0137,0,0,0,0.9
1700,3,0.157773,4.5197,-0.1039,0,0,0,0.9
1750,3,0.052196,4.5637,-0.0325,0,0,0,0.9
1800,3,0.069314,4.6218,0.0485,0,0,0,0.9
1850,3,0.070349,4.5797,0.0951,0,0,0,0.9
1900,3,0.105107,4.4902,-0.0460,0,0,0,0.9
1950,3,0.085948,4.6354,-0.0172,0,0,0,0.9
2000,3,0.043130,4.6527,0.0000,0,0,0,0.9
2050,3,0.052200,4.6200,-0.0172,0,0,0,0.9
2100,3,0.125769,4.4445,0.1741,0,0,0,0.9
2150,3,0.055565,4.5916,-0.0045,0,0,0,0.9
2200,3,0.035189,4.6527,0.0000,0,0,0,0.9
2250,3,0.112029,4.5153,0.2071,0,0,0,0.9
2300,3,0.104676,4.4289,-0.0661,0,0,0,0.9
2350,4,0.041392,4.6527,0.0148,0,0,0,0.9
2400,4,0.026939,4.6527,0.0000,0,0,0,0.9
2450,4,0.028232,4.6527,0.0000,0,0,0,0.9
2500,4,0.024703,4.6253,0.0029,0,0,0,0.9
2550,4,0.027746,4.6527,0.0000,0,0,0,0.9
2600,4,0.029752,4.6527,0.0000,0,0,0,0.9
2650,4,0.038576,4.6527,0.0137,0,0,0,0.9
2700,4,0.031445,4.6527,0.0000,0,0,0,0.9
2750,4,0.028199,4.6373,0.0137,0,0,0,0.9
2800,4,0.031030,4.6527,0.0000,0,0,0,0.9
2850,4,0.026136,4.6242,-0.0107,0,0,0,0.9
2900,4,0.022240,4.6396,-0.0131,0,0,0,0.9
2950,4,0.030635,4.6247,0.0208,0,0,0,0.9
3000,4,0.027835,4.6527,0.0000,0,0,0,0.9
3050,4,0.028842,4.6188,-0.0339,0,0,0,0.9
3100,4,0.039099,4.6206,0.0024,0,0,0,0.9
3150,4,0.034358,4.6264,0.0040,0,0,0,0.9
3200,4,0.024797,4.6527,0.0000,0,0,0,0.9
3250,4,0.030028,4.6527,0.0000,0,0,0,0.9
3300,4,0.041429,4.6373,-0.0154,0,0,0,0.9
3350,4,0.033983,4.6527,0.0285,0,0,0,0.9
3400,4,0.032856,4.6527,0.0000,0,0,0,0.9
3450,4,0.029076,4.6367,-0.0023,0,0,0,0.9
3500,4,0.025186,4.6527,0.0000,0,0,0,0.9
3550,4,0.021419,4.6527,0.0000,0,0,0,0.9
