step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed
200,1,0.026793,4.6527,0.0000,0,0,0
300,1,0.010121,4.6527,0.0000,0,1,0
400,2,0.022913,4.6527,0.0000,0,0,0
500,2,0.008898,4.6527,0.0000,0,1,0
600,3,0.062741,0.0000,0.0000,0,0,0
700,3,0.029915,0.0000,0.0000,0,0,0
800,3,0.020601,0.0000,0.0000,0,0,0
900,3,0.016907,0.0000,0.0000,0,0,0
1000,3,0.011719,0.0000,0.0000,0,0,0
1100,3,0.010125,0.0000,0.0000,0,0,0
1200,3,0.010493,0.0000,0.0000,0,0,0
1300,3,0.008760,0.0000,0.0000,0,0,0
1400,3,0.007528,0.0000,0.0000,0,0,0
1500,3,0.016949,0.0000,0.0000,0,0,0
